entity1,text,label
AnatomicalStructure,What is the territory of the conflict whose commander is Feng Zicai,0
Person,What is guest of honor for Arturo Toscanini ,1
SoccerClub,What were people born in the Ottoman Empire called,0
SportsTeam,What is the birthplace for Max Yasgur located on the coast of the Bronx River,1
Holiday,Who is the composer for Jerry Goldsmith,0
MovieGenre,Who is Andriy Shevchenkos spouse and where did they get married,0
River,Mention the animation studio built for operating the American Broadcasting Company,0
Family,Name the partners of Kelly Brook,0
Family,Where is Messier in the galaxy,0
Work,What is the river one of whose left tributarys native name is Arabic,1
Protein,What towns partner capital is Almohad,0
SkiResort,What is the birthplace of Rudolf Koegel,0
Group,Which is the hometown of Kevin Martin that is next to Beaumont,1
Work,What sport has the proponent of uneven bars,1
Location,What is the coached by of the teams played for of Allen Tankard ,1
CollegeCoach,Which countrys largest city is Lima,0
Agent,Which office holders successor is Adrian A Basora and child named Lori Black,1
University,Which units are garrisoned at Arlington County Virginia,1
Family,Where is the VP buried which was served by Frederick Cooke,0
Lake,What are some seas inside europe ,1
CelestialBody,Which rivers end in Old Saybrook Connecticut,0
CelestialBody,List the territory of Tonkin Campaign ,0
Album,What type of student role model is Octavian  Angheluta,1
Activity,What is helium surname which has cohabitant is Perse,1
Department,Who wrote the singles on the Main Course,0
Person,Name a Norwegian radio station,1
Song,Which geographical locale is under Patagonia whose appointed representatives form the cabinet of Chile,0
Disease,Tell me metropolitan city of South Korea whose name has the word ulsan in it,1
ChemicalCompound,What is the vaccine for Influenza,1
Species,Which are the comics characters painted by Bruce Timm and created by  Paul Dini,0
Country,Which Spanish road leads to Seville,1
Family,Which kmascot od seneca Academy is also the species of The Fox and the Cat ,0
PublicService,Name the tenant of Ever bank field which has also has player named Dan Shamash ,0
Person,which railway company in transport have least operating income,1
Stream,What are some cartoons distributed by a subsidiary of Time Warner,1
Place,In which city did John F Kennedy die,1
Website,What is the PhD advisor of Roger Cotes best known for,0
PopulatedPlace,Whose famous works have been illustrated by E W Kemble,1
Person,Which is the twinned administrative body and the contains administrative territorial entity of Lisbon ,1
TelevisionShow,In which country does the Auckland rugby union team play  ,1
Organisation,Who is the CEO of ExxonMobil,1
Location,Which is the IUCN conservation status for endangered species,1
Agent,What is the name of the composer of the music used in Blade Runner,1
BaseballTeam,What is the literary work that stars The Cider House Rules,0
Place,Sarah Silverman stars in which animated film,1
BasketballPlayer,What is the adaptation of the Sneezy narrative,1
Family,Which is the Wikimedia category for the associated category of people of Istanbul,0
HistoricalSettlement,What is the executive and legislature body of Goa,0
Person,Who is Daimier AGs owner and what is its subsidiary,1
Place,What is the headquarters of the International Hydrographic Organization that has mayor Serge Telle,1
Work,What are the art museum which start with the letter wien,1
Person,He was 88 and had reigned for 41 years T??ufa????hau Tupou IV was buried on 19 September 2006 at Mala??e Kula the Royal cemetery in the Tongan capital Nuku??alofa,1
Ship,Which nationalist group was responsible for foundation of Young Lords,1
Location,In which country is Mecca located,1
EthnicGroup,Which rivers source mountain is Baikal Mountains and is located in Laptev Sea ,1
Family,Who is the topic of Shear zone whose scholarly filed for is plate tectonics,0
Department,Where is Rome,0
Company,What is the periodical literature with the minimum publication interval such that the language of work or name is Spanish,1
PersonFunction,Which is the country of Iloilo City,0
EducationalInstitution,Who were the patron saints that formed the Society of Jesus ,1
Location,What preceded London Calling in the same literary genre of folk punk,1
Department,Name the building by the engineer Arup with the least amount of elevators,0
Person,Who gave the on harbour of player of Gallipoli campaign ,1
Agent,Tell me military order whose name has the word  saint in it,1
CelestialBody,Who replaced Suharto as Secretary General of the NonAligned Movement,0
Enzyme,Which business enterprise has highest operating income,1
City,What is it,0
ChemicalSubstance,Which cover artist of the The Adventures of Tom Sawyer also the source of inspiration of The Appple Tree ,1
Species,List the relatives of Lyubov Dostoyevskaya ,0
PoliticalParty,What members are a part of the Organization of American States,0
Place,Who are the people who played for San Francisco 49ers,1
RecordLabel,What does the Poincare conjecture prove,0
State,What are the major works of Marin Alsops supervisor,1
MountainRange,Who is the person that created Winnie the Pooh,0
TimePeriod,Whats the name of the instrument used in clustering of scientific,0
Family,Which railroad line that connects with Novosibirsk and which contains the word railway in their name,0
Family,Which area of land did Frank Gehry protect,0
PopulatedPlace,Is Etruschi the city of culture,1
Family,which conglomerate has the highest market capitalization,0
CelestialBody,What is the university whose campus is Mount Moosilauke,0
Holiday,What maintenance is connected with Tochigi Prefecturual Road Route 175,0
Architect,What did Safwat Ghayur attend in action,0
Film,Which series is dubbed by Cape Feare,1
Organisation,What is the name of the shore that Willa cather died on,1
SkiResort,Which is county seat active in Alexander H Stephens ,0
PopulatedPlace,What is the nationality of the David KingWood and John Steed ,1
Organisation,Which cast member from The Hitchhikers Guide to the Galaxy played the role of Ford Prefect,1
Media,Who established label of Super Junior ,0
Work,What is that has of,1
Country,From which country is Lawrence Okoyes nationality ,1
MusicalArtist,What are the city which start with the letter w,0
Location,Over which rivers does a cable stayed bridge exists,1
PersonFunction,What is the name of Scientific and Cultural organization of the United Nations,1
Agent,What Author has a Physics book written by him  her whos favorite player is Democritus,1
Family,Who is born at Tilda Swinton which has a partner town of Baku,0
Location,From what country is F Scott Fitzgerald who was born in St Paul,1
Biomolecule,Which is the international airport for the transport hub of Belgrade,0
NaturalPlace,What is the title of the sequel to Lila An Inquiry into Morals and who authored it,1
Family,Who is in the administrative unit of the South Khorasan Province  Who has administrative divisions in the North Khorasan Province,0
Website,What is the first described death place of Ariel,0
Work,Which player has consequence of Serbian Nationality,1
PopulatedPlace,What is secreted from Fertilizer,1
Place,List the developers who has contributed to both GNOWSYS and GNU TeXmacs ,1
Settlement,To which country is Svetlana Navasardyan from,1
City,Which university has affiliations to Graham Holdings and Kaplan Inc,0
Place,Which is legislative body of Cook Islands,1
Agent,What is the colorless Class II combustible liquid with the lowest median lethal concentration,1
Family,Name the HBO TV show written by Erik jendresen  ,0
CollegeCoach,which is place of birth of fatimah that is located in the administrative territorial entity is hejaz,0
Organisation,Which rivers flow into the North Sea,1
Organisation,Who is replaced by James Scullin the Member of the Australian House of Representatives,1
CelestialBody,Who gave the chancellor of place of work of Bernie Sanders ,0
Eukaryote,What is the science of the study of Bengali literature,1
Agent,Tell me hot spring whose name has the word unapdev in it,1
MusicalWork,What is the taxon that causes syphilis,1
Agent,Which rivers flow into the North Sea,1
Activity,Which actor played Dana Scully in The XFiles,1
SkiResort,Which country on the Gold Coast did Jack Brabham die,0
Settlement,What is the sovereign state of Citizenship country of Vladimir Lenin,1
PeriodicalLiterature,What is the Home Stadium of the Kenya national under20 football team where Matin Suji was also born ,1
Family,Who owns the broadcast network founded by CNN,0
Work,Which artist precedes by Die Die My Darling ,1
WrittenWork,Where is the headquarters of Sigma TV,1
Person,Name an international football competition  that starts in November and contains the word cup in its name,1
BaseballTeam,What sports includes the long jump,1
Agent,Who won the prize at the sequel of the 1885 Wimbledon Championships Gentlemens Singles,1
Crater,Who is the rector of the University of Helsinki,0
Agent,Who are the crew member of Phillipe Perrins cosmonaut mission,1
Work,which  is the 3D film with the highest duration whose country of origin is united states of america,1
GridironFootballPlayer,What are the hubs of PLUS Helicopter Services a highway helicopter unit of PLUS Expressways,1
Name,Who is the president of Eritrea,1
Family,Which sucessor of George Madison is the sucessor of levi Lincoln Sr ,0
CelestialBody,Which company is the parent company of Chevrolet Spark ,0
Family,What movie was Sissy Spacek nominated for an Academy Award for Best Actress,0
Agent,Which is endemism of Mantella where member of is International Bank for Reconstruction and Development ,1
Food,What are the orbits of Europa and its moon Thebe,1
Country,What was Heath Ledger nominated for concerning his work on Brokeback Mountain,1
Person,What are the private university which start with the letter u,1
Location,Who is the owner of the theatre company that made The Birth of the Star Spangled Banner,1
SkiResort,Which automobile marque has the highest assets,0
Agent,What are the diplomatic relations between Brunei and Canada,1
Town,Name the river whose source is located in Ikelenge  District and mouth in Mozambique,1
Family,What is the first described of the ideology of Progressive Party,0
Place,What is the administrative headquarters of Pulau Ujong ,1
Company,What are the Original Public Ivy which start with the letter U,1
Department,Who is native to the British English area that has diplomatic relation to Russia,0
Organisation,Who is the rector of the University of Helsinki,1
Location,Where is the event location in the Pacific Ring of Fire which tributary is Ozette River,1
Currency,Is Brooklyn that has cities the birth location of Richard E Bellman,0
Settlement,What is recorded species holding of Nashorn Zebra  Co,1
PopulatedPlace,Which countries came together to serve a greater purpose and founded South Asia Subregional Economic Cooperation,1
Settlement,What is the alma mater of the author of Letter to a Christian Nation ,1
Family,Is Etruschi the city of culture,0
City,What terrain feature of Hokkaido has the tributary Bolshaya Sarannaya,1
Road,Whose youth clubs used to participate in Argentine Primera Division,1
PoliticalParty,What is the home port of Kuala Lumpur,0
CelestialBody,Which  is theme music for Big Bang Theory ,0
Film,Name the basketball player who played for Phoenix Suns and Los Angeles Clippers was his draft team,1
Agent,Who was the opponent of Robert Carr 1st Earl of Somerset ,1
Person,What animal makes the most sound on drugs,1
Settlement,What is the lowest profit automobile marque whose stock exchange is NASDAQ,1
Star,The Indianapolis 500 is held at which race track,0
HistoricalSettlement,Which country does the current team of Darren McNamara belong to,0
Agent,On the Churchill River what lakes are on the river,1
Place,Which state has the oldest Canadian diplomats,1
SportsEvent,Who is the parent of the leader of Communist Party of China,1
Agent,When did head of government of Seattle and work period end,1
Award,Where did the beverages sold by Refriango originate,1
PopulatedPlace,What are some magazines whose publishers are themselves Rock and Roll Hall of Fame members,1
PopulatedPlace,Which parent comapny of hypnotize Minds is the label of the Producers  a 2005 film ,1
Family,Give me all actors who were born in Berlin,0
Protein,Give me all actors who were born in Berlin,0
Work,Who is Peters motherinlaw,1
Department,Who is Anna Akhmatovas spouse and why did the marriage end,0
State,Who is the coach of Ankaras ice hockey team,1
CelestialBody,Which tennis players live in Kenthurst new south wales,0
CelestialBody,List the people whose are in the board of an organization kickstarted in New York,0
Library,Where is Glasgow nearest body of water located and where is the administrative territorial entity located,0
Location,What is in the principal area of Bouvet Island that is also a member of the Group on Earth Observations,1
Family,Governmental,0
Website,Name the office holder whose spouse is Dolley Madison and belongs to Militia branch ,0
Agent,What is the town with min male population located in the administrative territorial entity Tasmania,1
RecordLabel,Which is the natural reservoir for Pteropodidae,1
TopicalConcept,Who is the public educational institution of the United States for educated at of Phil Hartman,0
Department,Who is Jonas Salks wife ,0
Infrastructure,Who is the diplomatic relation to the United States of America whose Chief of State is Mswati III,1
Settlement,Who gave the musical score  of 9 to 5 musical ,1
Zoo,Which asteroid has got the most orbital inclination,0
Device,Who founded postmodernism,1
Village,What is chief executive officer of Sheldon Adelson ,1
Protein,Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar Kolkata ,0
Building,Which are the previous broadcast networks of sister channels of WGBC,1
Family,What is the village for the place of death of Akhenaten,0
Organisation,What is the Honorary title of Bertrand Tavernier that was won by Adbellatif Kechiche,1
Department,Who gave the  ideology of member of of Lola Iturbe ,0
Library,What is the twin town of Suzhou that has category of associated people from Category People from Esbjerg,0
Family,Which administrative divisions of Madagascar is next to Antananarivo Province,0
Organisation,What is the archive with the  most data size whose owned by is  Wikimedia Foundation Inc,1
CelestialBody,Name the organization which developed iPhone OS and the XNU,0
BaseballTeam,What is the ranking of Russia at the FIFA World Cup,0
Agent,What what is archaeological site World Heritage criteriaiii  and also which starts with letter t,1
Agent,who are some miss michigan usa,1
Country,Tell me  association football club whose name has the word wrexham in it,1
State,Which teams players have played in the national hockey league,1
ChemicalSubstance,What is Bol??ro dedicated to,1
Company,Who is the child of the sister of Louis Dauphin of France Duke of Guyenne,1
Location,What is the son of Jafar alSadiq whose sister is Asmaa Bint Jafar,1
EducationalInstitution,Which mountains are higher than the Nanga Parbat,1
PoliticalParty,For what work was Gary Cooper nominated for an Academy Award for Best Actor,0
Island,What kind of employment do the spouses of Jussi Bj??rling do,1
Work,Who is Julia Gillards partner,1
NobleFamily,What borders the birth place of Johann Pachelbel,1
Place,What are the lyrics and language of work or name of God Save the Queen,1
SkiResort,Who dubbed the series Pretty Pretty Dresses,0
Agent,Which garrison of East Indies Station is also the route end of Mumbai Vadodara Express ,1
Award,What kind of oil was used in the portrait of Vista geral do Centro S Paulo 103,1
Street,What is the sea whose cities are Gdask and Oulu,0
HockeyTeam,Whats buried at Jean Pierre Boyers on the street,1
Place,tonle sap flows into which river,1
Family,What country is adjacent to Poland that has states including the Suhl District,0
Person,Which board memeber of jimmy Wales also owns Latvian Wikipedia ,1
SocietalEvent,List the governers of Jimmie Lou Fisher,1
Organisation,Who are the parents of the wife of Juan Carlos I,1
Agent,Who was Vincent van Gogh inspired by,1
TimePeriod,What is the television show whose opening themes album is Cheers,0
SkiResort,Mention in which city in United States was Friends pictured,0
Department,What is the lowest profit automobile marque whose stock exchange is NASDAQ,0
Magazine,Who are the kids that inspired the Color Purple,1
Work,What at Ferdinand de Saussure has doctoral thesis as De lemploi du g??nitif absolu en sanscrit ,1
TopicalConcept,Which journal published Zoopolis,0
OfficeHolder,What is the minimum viable temperature for a strain with a biosafety level of 1,0
WrittenWork,What is the railway station owned by Amtrak,1
Film,Which is the federal state that was a participant in the Cuban Missile Crisis,1
Place,Who is the author of foreword of A Brief History of Time,1
Agent,Who is the owner of the South end ,1
Person,How do you call someone who is practicing veganism ,1
Location,Billie Jean was on the tracklist of which studio album,1
AnatomicalStructure,Which is the magazine founded by Oprah Winfrey,0
University,Where was the designer of REP Parasol born,0
Agent,Whay common comic is written by Karakuri Dji Ultimo and narrated by The Incredible Hulk ,1
State,Which city do both Arthur Ross and Edward Niesen come from,1
HistoricalSettlement,TELL ME HUMAN SETTLEMENT WHOSE NAME HAS THE WORD ZANZIBAR IN  IT,0
Agent,What country for May was named after Magtymguly Pyragy,1
Location,Which team did Wilfred McDonalds and Cam Plante play for,1
HistoricalSettlement,WHAI IS THE UNITED STATES SUPREME COURT DECISION THAT APPLIES TO JURISDICTION IN UNITED STATES IF AMERICA AND WHICH STARTS  WITH U,0
CelestialBody,What is the name of a private not for profit educational institution that starts with the letter u,0
Disease,Name the office holder whose constituency is HaightAshbury,0
PopulatedPlace,Did Igor Stravinsky become the winner of the The Grammy Lifetime Achievement Award was,1
EducationalInstitution,Whet academic degree did Zaha Hadid recieve,1
Person,The president served by Haqqi alAzm died where,1
Agent,What is Ancient Egypts lighthouse,1
EthnicGroup,Which is the tributary for Tennesse River,1
Family,Which teams did Lee Roy Selmon play for that won championships,0
Currency,What is the vallis with the largest diamater and located in the hellas quadrangle,0
Award,To which sovereign state and diplomatic relation does the Arab League belong,0
Location,What was founded next to Krafwerk,1
Agent,Name a person who works in Open Society Foundation and has wife named Susan Weber Soros ,1
Song,Which planet was first discovered by Johann Gottfried Galle,0
Agent,What is the birth place of Claude Adrien Halrtius that aslo has villages and is 7th arrondissement of Paris,1
SoccerPlayer,In what field did Niklaus Wirth get a Master of Science degree,0
SkiResort,Who wrote the book Pinocchio,0
Media,Who is the  human for creator of Star Trek,1
Stadium,whats the involvement of dutch east India company,1
Agent,Who designed the Mausoleum of Maussollos,1
Work,What is the leader of the government agency which is the military unit of Erich Kempka ,0
PopulatedPlace,Mention the Russian Orthodox Churchs eastern orthodox church body,1
Department,What are the Native American tribe in the United States which start with the letter tulalip,0
Country,where and what did Zaha Hadid study,1
Lake,What Irish city is the sister city of Chicago,0
TelevisionShow,Which is the single that had the lyrics by Janet Jackson,1
Work,Who is the builder of the Stadium of Costa Rica womens national football team,0
CelestialBody,What is the village with the highest number of households whose country is India,0
Location,What is the origin of the musical artist of A Todo Romantic Style ,1
Film,Sergei ProkudeinGorskii died in what county within the 7th arrondissement of Paris,1
Family,Which companys cars are assembled in Iran,0
Currency,What is the ingredients in beer whose phase point is the critical point,0
Country,What is the birthplace of Rudolf Koegel,1
WrittenWork,Tell me the class lllb with the highest exposure limit whose safety is labelling standards,1
Surname,Give me all launch pads operated by NASA,0
TimePeriod,Where did Jarmila Kratochv??lov?? set a record for the 400 metre dash,0
TopicalConcept,What is the place of interment with twin cities of Tel Aviv of Mae West,0
ChemicalCompound,Name a movie directed by Federico Fellini,1
Family,Tell me  tournament whose name has the word  weltklasse in it,0
SkiResort,Who is the secretary general for Christian Democratic Union,0
Settlement,What was the capital of the Austrian Empire ,1
Family,Which football teams is Shahid Khan proprietor to,0
PersonFunction,GetTV is owned by which organisation,1
Agent,What thermal power station in Russiathe Soviet Union has the smallest capacity,1
MountainRange,What Belgian municipality with city privileges shares a border with Bruges,0
State,Which port city is the highest point Tibidabo and which contains the word barcelona in their name,1
ChemicalSubstance,List the common sports between Fr Agnel Multipurpose School  and Jamiatu Muslim Mindanao,1
SkiResort,Which operator of ganz UV is also the nationality of the Gza Horvth ,0
ChemicalSubstance,Which source of Water resources management in El Salvador is also the nation of the Sierra del Merendn,1
Location,Which countrys engineered have studied at Aero Klub in Wroclaw,1
Location,what is the capital of babylon,1
City,What is the american football league whose champion is from Kansas City Missouri,1
Department,Name the award shared by Christopher A Pissarides along with Dale T Mortensen,0
Agent,Who are the associated musical artist of Carolyn Dennis,1
Agent,What is the informed by of the film script by The Elevator,1
Agent,List the software developed by Shawn Fanning ,1
Agent,List the common relegion affiliation of khadra Haji Ismail and Yasmin khatun ,1
AnatomicalStructure,What manga is written in Japanese,0
Media,Name the country with the most total exports where Viktor Zubkov was Prime Minister,1
University,who  is the child of bernie ecclestone,1
Mineral,What is the name of the secondary national association football team for the Zinedine Zidane Team members,0
Location,who film producer of predecessor of stormbringer ,1
PoliticalParty,What country is adjacent to Poland that has states including the Suhl District,0
Organisation,In which city does the Chile Route 68 end,1
SoccerClub,Which software companys CEO is Gabe Newell,0
Location,Whichi  burial place of the Henri Duke of Rohan is also the birth place of Michel Frutschi ,1
MedicalSpecialty,Which federation has the largest Gini coefficient,0
Disease,Give the name of the taxon with the lowest chromosome quantity whose progenitor is Passifloraceae,0
Organisation,What is presented by present Ben Wizner ,1
Department,Which business enterprise has highest operating income,0
Person,Tell me about democratic republic for diplomatic relation of Russian Empire,1
Library,Which work of Marlon Brando was nominated for the Academy Award for Best Actor,0
Country,Who is employing Lockheed Martin ,1
HistoricalCountry,Which day and what are the traditional foods of Thanksgiving,0
WrittenWork,Who is drafted by the Boston Celtics,1
SkiResort,Who is Julia Gillards partner,0
Department,Name the origins of the river with Quich Department as one of the origin ,0
Agent,What is that show whose theme was composed by Joel Goodman,1
PublicService,Name a City in France with many monuments that starts with letter L,0
Island,When did urban municipality of Germany for twinned administrative body of Leeds,1
Project,What comes before and is developed by MultiMediaCard,0
Work,What is the birthplace for Max Yasgur located on the coast of the Bronx River,1
Holiday,Which volcanos in Japan erupted since 2000,0
SkiResort,Which is partner town of Indian reservation Delhi Public Library ,0
Department,Which bay whose tributary is the Kamo River is near the Mariana Trench,0
Website,What is the allegiance of John Kotelawala ,0
Award,Where did the partner of Teriitaria II die,1
Place,Which is treatment murder method of Ted Hughes ,1
Person,What kingdom starts with the letter z,1
Biomolecule,Whats the country that has the lowest amount of school children who have family that work for the International Bank for Reconstruction and Development,0
Profession,Who is the person that is a political party member of Indian National Congress,1
State,Who is the head coach of FC Porto,1
Athlete,Which serving railway line of the Daund Junction railway station is the home port of INS Viraat ,1
ArchitecturalStructure,Where are the burial grounds of Willem Cornelis Janse van Rensburg and Thomas Franois Burgers,1
Building,what is the replaced by  Kevin Rudd has position held as Prime Minister of Australia ,1
CelestialBody,Name the hockey team which has head coach as Mike babcock and is based in Toronto ,1
Company,What films has Francis Ford Coppola been the executive producer of,1
Family,What workplace compiled Historia Coelestis Britannica,0
SoccerClub,What is the common nationality of Viveka Babajee anad Ronny Vencatachellum ,0
NobleFamily,In West Bengal what office does the head of state hold,0
Stream,What did Logo develop which resided in the USA,1
Agent,which mosque starts with s,1
PopulatedPlace,Where did the relatives of Gustavo Rojas Pinilla study,1
UnitOfWork,Who is represented by the spouse,0
Activity,Who is the follows for Lothair I which has noble title as monarch of Italy ,0
Stream,Which board game that practiced by backgammon player and which that starts with the letter b,1
Place,Who is graduated from Georges Dum??zil whose parent company is Centre de Recherches sur la Pens??e Antique,1
Family,who starring of preceeds of agent cody banks ,0
Family,Who worked as the managerdirector of ??cole Normale Sup??rieure,0
